Date,Open,High,Low,Close
28-June-2019,211.29,212.58,209.64,209.98,
1-July-2019,210.80,211.60,207.96,209.23,
2-July-2019,210.48,210.83,208.98,210.68,
3-July-2019,211.03,211.81,210.27,211.22,
4-July-2019,211.97,212.25,210.78,211.26,
5-July-2019,211.95,212.06,205.14,205.75,
8-July-2019,205.49,205.55,197.90,198.73,
9-July-2019,198.41,199.93,197.02,199.50,
10-July-2019,199.30,199.84,196.00,196.51,
11-July-2019,197.47,197.75,196.16,197.27,
12-July-2019,197.71,198.15,195.76,196.42,
15-July-2019,196.55,196.62,194.32,194.74,
16-July-2019,195.07,197.80,194.39,197.57,
17-July-2019,197.87,198.00,195.85,196.63,
18-July-2019,196.87,196.93,192.53,192.65,
19-July-2019,193.74,194.25,190.38,190.91,
22-July-2019,190.51,192.14,187.91,191.69,
23-July-2019,191.95,192.45,190.64,191.37,
24-July-2019,191.59,191.97,187.45,188.07,
25-July-2019,188.49,189.33,187.00,187.55,
26-July-2019,187.55,188.26,186.53,187.50,
29-July-2019,187.64,187.72,184.87,185.02,
30-July-2019,185.19,186.48,181.48,181.91,
31-July-2019,181.59,183.93,180.23,183.46,
1-August-2019,183.50,184.28,179.99,181.66,
2-August-2019,181.53,182.26,178.83,180.14,
5-August-2019,179.20,179.20,174.66,175.47,
6-August-2019,174.89,179.44,174.30,178.68,
7-August-2019,179.43,179.71,176.79,177.14,
8-August-2019,177.80,178.74,175.87,178.25,
9-August-2019,178.60,180.23,177.34,177.55,
13-August-2019,178.05,179.19,172.51,173.20,
14-August-2019,174.15,175.47,172.87,175.06,
16-August-2019,175.18,176.45,173.73,175.90,
19-August-2019,176.89,177.25,175.25,175.47,
20-August-2019,175.67,176.18,173.18,173.63,
21-August-2019,173.81,173.81,169.10,169.38,
22-August-2019,169.48,169.48,165.43,165.98,
23-August-2019,165.91,169.36,163.85,168.49,
26-August-2019,171.70,172.70,167.73,172.44,
27-August-2019,172.85,176.31,172.78,175.87,
28-August-2019,176.42,176.81,172.39,173.16,
29-August-2019,172.98,173.60,170.98,173.18,
30-August-2019,173.57,175.07,169.58,172.93,
3-September-2019,172.30,172.43,168.38,168.74,
4-September-2019,169.20,170.86,168.09,170.69,
5-September-2019,171.35,175.83,171.35,173.36,
6-September-2019,174.55,176.68,174.10,176.44,
9-September-2019,176.29,178.70,175.51,178.44,
11-September-2019,178.72,180.11,177.04,177.56,
12-September-2019,177.84,179.03,177.30,177.60,
13-September-2019,178.35,178.93,176.46,178.82,
16-September-2019,178.82,179.04,177.10,177.77,
17-September-2019,178.24,178.43,174.05,174.28,
18-September-2019,174.73,175.44,173.43,174.02,
19-September-2019,174.21,174.67,170.85,171.28,
20-September-2019,171.38,179.32,169.71,178.37,
23-September-2019,180.81,185.22,180.81,183.58,
24-September-2019,184.14,184.22,181.44,182.13,
25-September-2019,182.78,182.92,179.96,180.23,
26-September-2019,181.26,182.90,180.64,182.66,
27-September-2019,183.08,183.08,179.48,179.91,
30-September-2019,179.80,179.80,176.84,179.32,
1-October-2019,180.24,181.12,174.39,175.93,
3-October-2019,174.92,176.52,173.86,175.66,
4-October-2019,177.16,177.45,173.51,173.93,
7-October-2019,174.45,174.49,171.55,171.90,
9-October-2019,172.93,175.18,171.51,174.93,
10-October-2019,175.06,175.08,173.58,174.22,
11-October-2019,174.98,175.95,173.46,174.50,
14-October-2019,174.92,176.52,174.79,175.61,
15-October-2019,176.24,177.77,175.67,177.58,
16-October-2019,177.74,178.15,175.89,177.21,
17-October-2019,177.44,178.63,176.16,178.31,
18-October-2019,178.30,183.29,177.72,183.03,
22-October-2019,183.18,184.80,182.32,182.98,
23-October-2019,183.36,183.39,180.65,182.72,
24-October-2019,183.43,183.83,181.15,181.53,
25-October-2019,181.48,181.79,178.93,179.49,
27-October-2019,180.30,180.89,179.63,180.09,
29-October-2019,179.75,183.14,179.25,182.09,
30-October-2019,183.45,184.48,182.43,183.70,
31-October-2019,184.78,184.99,184.02,184.27,
1-November-2019,184.46,185.61,183.92,184.16,
4-November-2019,184.91,186.12,184.54,185.35,
5-November-2019,185.77,185.81,182.80,183.94,
6-November-2019,184.12,185.74,182.92,184.63,
7-November-2019,185.88,186.35,184.14,184.80,
8-November-2019,185.05,185.42,182.32,182.63,
11-November-2019,183.42,183.71,181.71,182.94,
13-November-2019,183.49,183.53,178.84,179.08,
14-November-2019,179.41,179.50,177.33,178.33,
15-November-2019,178.78,179.27,177.55,178.08,
18-November-2019,178.73,179.00,177.75,178.54,
19-November-2019,179.42,179.42,177.85,178.28,
20-November-2019,179.63,180.12,178.71,179.44,
21-November-2019,182.09,182.88,178.27,178.49,
22-November-2019,179.01,179.23,178.01,178.64,
25-November-2019,178.86,179.86,178.69,179.31,
26-November-2019,179.62,180.53,177.18,177.63,
27-November-2019,178.46,178.68,176.25,177.46,
28-November-2019,179.73,179.73,177.17,179.08,
29-November-2019,179.14,180.88,178.87,179.72,
2-December-2019,179.80,179.83,177.50,178.01,
3-December-2019,178.05,178.17,174.43,174.65,
4-December-2019,174.52,175.90,173.61,175.71,
5-December-2019,176.03,176.04,174.06,174.37,
6-December-2019,175.13,175.30,170.52,171.11,
9-December-2019,172.16,173.35,170.52,171.84,
10-December-2019,172.53,172.53,169.00,169.28,
11-December-2019,169.61,171.39,169.49,171.12,
12-December-2019,171.78,173.30,171.04,172.65,
13-December-2019,173.22,174.78,173.16,174.55,
16-December-2019,175.12,175.25,173.13,173.46,
17-December-2019,173.72,175.07,172.84,174.88,
18-December-2019,175.34,175.44,173.58,174.06,
19-December-2019,174.73,174.73,173.10,173.64,
20-December-2019,174.18,175.22,173.61,174.14,
23-December-2019,173.88,174.61,172.82,173.26,
24-December-2019,173.45,174.03,173.18,173.48,
26-December-2019,174.09,174.09,172.27,172.65,
27-December-2019,173.74,174.35,173.31,174.11,
30-December-2019,174.82,175.48,174.39,174.79,
31-December-2019,175.11,176.61,174.71,176.12,
1-January-2020,176.08,177.79,175.93,177.51,
2-January-2020,177.87,181.18,177.61,180.98,
3-January-2020,181.91,182.41,180.48,181.03,
6-January-2020,181.09,181.09,177.15,177.77,
7-January-2020,178.77,180.78,178.41,179.36,
8-January-2020,177.90,179.03,176.71,178.47,
9-January-2020,180.50,181.35,180.01,181.00,
10-January-2020,181.87,183.48,181.64,182.12,
13-January-2020,183.06,184.22,182.74,183.63,
14-January-2020,184.37,184.67,183.19,183.85,
15-January-2020,183.94,185.97,183.16,185.75,
16-January-2020,186.69,186.94,185.17,185.41,
17-January-2020,185.75,186.13,184.75,185.43,
20-January-2020,185.87,186.46,183.68,183.83,
21-January-2020,183.95,184.11,181.77,181.94,
22-January-2020,181.83,181.96,179.45,179.80,
23-January-2020,180.24,183.59,179.99,182.97,
24-January-2020,183.05,185.40,182.07,184.51,
27-January-2020,184.31,184.86,182.56,182.86,
28-January-2020,183.40,183.54,180.64,181.26,
29-January-2020,181.99,183.80,181.99,182.89,
30-January-2020,183.40,183.40,180.50,181.08,
31-January-2020,181.88,182.12,176.63,177.06,
1-February-2020,178.11,178.13,169.46,170.34,
3-February-2020,170.87,171.53,167.75,170.59,
4-February-2020,172.06,173.95,171.85,173.75,
5-February-2020,174.80,176.00,174.12,175.81,
6-February-2020,176.39,177.36,176.00,177.26,
7-February-2020,178.14,178.14,176.93,177.44,
10-February-2020,177.55,177.57,174.69,175.02,
11-February-2020,175.81,176.32,174.95,175.17,
12-February-2020,175.61,176.36,174.72,175.57,
13-February-2020,175.50,175.69,173.88,174.86,
14-February-2020,175.39,175.86,171.81,172.05,
17-February-2020,171.91,172.14,168.42,168.57,
18-February-2020,168.90,168.90,164.86,168.01,
19-February-2020,169.43,170.57,167.94,170.06,
20-February-2020,169.77,170.99,169.23,170.01,
