Date,Open,High,Low,Close
2-March-2020,179.32,180.04,173.73,175.29,
3-March-2020,176.74,178.68,175.63,178.11,
4-March-2020,178.58,178.92,174.73,177.49,
5-March-2020,178.48,179.75,177.47,177.83,
6-March-2020,173.50,174.12,170.55,173.54,
9-March-2020,170.60,170.60,162.16,164.38,
11-March-2020,163.86,166.03,162.92,164.23,
12-March-2020,158.79,158.79,149.40,150.73,
13-March-2020,143.64,159.47,134.49,156.65,
16-March-2020,152.31,152.31,144.28,144.83,
17-March-2020,145.90,147.89,140.72,141.51,
18-March-2020,143.46,143.95,132.32,133.35,
19-March-2020,127.96,134.88,123.15,130.08,
20-March-2020,131.15,139.45,128.18,137.07,
23-March-2020,126.92,128.67,119.16,119.63,
24-March-2020,124.36,126.34,118.33,122.83,
25-March-2020,122.23,132.39,122.04,131.34,
26-March-2020,133.72,138.40,131.63,137.07,
27-March-2020,140.47,142.59,134.65,136.46,
30-March-2020,134.05,135.22,129.94,130.61,
31-March-2020,134.49,136.41,131.76,135.13,
1-April-2020,135.55,135.55,129.16,130.00,
3-April-2020,131.41,131.65,126.50,126.87,
7-April-2020,132.25,138.23,131.15,137.83,
8-April-2020,136.41,143.30,135.73,137.58,
9-April-2020,140.56,144.18,140.54,143.88,
13-April-2020,144.23,144.23,140.74,141.95,
15-April-2020,144.40,145.56,139.27,140.04,
16-April-2020,138.76,142.07,138.53,141.29,
17-April-2020,146.20,146.50,142.91,145.42,
20-April-2020,147.71,147.71,145.35,146.24,
21-April-2020,142.96,142.96,140.88,142.15,
22-April-2020,143.44,146.29,142.02,145.89,
23-April-2020,147.13,148.67,145.54,148.12,
24-April-2020,146.23,148.44,145.44,145.98,
27-April-2020,147.61,149.56,147.56,147.81,
28-April-2020,149.53,149.72,147.42,149.30,
29-April-2020,150.40,152.93,149.81,152.14,
30-April-2020,155.18,157.78,155.08,157.31,
4-May-2020,152.92,152.92,148.30,148.71,
5-May-2020,150.84,151.26,147.01,147.28,
6-May-2020,148.02,149.85,146.30,148.77,
7-May-2020,148.84,149.01,147.43,147.85,
8-May-2020,150.76,150.80,148.59,148.80,
11-May-2020,150.64,151.91,148.82,149.12,
12-May-2020,148.14,148.74,145.76,147.95,
13-May-2020,154.29,154.30,150.05,150.70,
14-May-2020,148.17,149.11,146.39,146.63,
